sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
111,0.37499999999999994,0.4225352112676056,0.0425531914893617,0.057971014492753624,0.22916666666666666,0.22535211267605634,0.01064011414355274,0.019726044743329736,0.28420724094881394,0.25532268795741847
112,0.2702702702702703,0.2571428571428572,0.027777777777777776,0.029411764705882353,0.16216216216216217,0.17142857142857143,0.011125382292406935,0.01222498616281612,0.20110759493670882,0.16025641025641027
113,0.20588235294117646,0.1851851851851852,0.030303030303030307,0.03846153846153846,0.14705882352941174,0.11111111111111112,0.01286057341226582,0.007376038259384625,0.17162298387096775,0.05084745762711865
114,0.2921348314606742,0.46875,0.1839080459770115,0.2580645161290323,0.2921348314606742,0.28125,0.1367919212312189,0.03587958489610141,0.22100242588709346,0.2055406613047364
115,0.41025641025641024,0.20289855072463767,0.2105263157894737,0.02985074626865672,0.30769230769230765,0.14492753623188404,0.07480984787441011,0.007711727065811939,0.29457199546485263,0.1515758547008547
116,0.5121951219512195,0.4444444444444444,0.05,0.06557377049180328,0.21951219512195125,0.3492063492063492,0.01608038629582936,0.01637699641854228,0.29347070074769604,0.18857566765578632
117,0.5,0.7291666666666665,0.35294117647058826,0.6170212765957447,0.4230769230769231,0.7083333333333334,0.18763486533936,0.40761400643973317,0.2959177817132363,0.6493268461743537
118,0.5070422535211269,0.5818181818181818,0.34782608695652173,0.41509433962264153,0.3098591549295775,0.3272727272727273,0.1431983145394352,0.1626105565326735,0.532714092123094,0.5417004048582996
119,0.5866666666666667,0.5813953488372092,0.4383561643835616,0.42857142857142855,0.5066666666666666,0.3488372093023256,0.3330577003188322,0.2448482166357338,0.4663923182441701,0.43932931744566095
120,0.4516129032258064,0.4800000000000001,0.24175824175824176,0.1095890410958904,0.3440860215053763,0.29333333333333333,0.14575465060263532,0.02845813570354704,0.34440578087086365,0.21652001658451192
121,0.393939393939394,0.3611111111111111,0.125,0.1142857142857143,0.30303030303030304,0.27777777777777773,0.013819585494830136,0.011562497201211533,0.25064848887012126,0.3045634920634921
122,0.5434782608695652,0.40963855421686746,0.26666666666666666,0.1728395061728395,0.43478260869565216,0.2891566265060241,0.14006148376527852,0.06877439247346581,0.5226917916514955,0.3024390243902439
123,0.31884057971014496,0.3389830508474576,0.059701492537313425,0.10526315789473685,0.2028985507246377,0.23728813559322035,0.011649284259158212,0.015021239977027565,0.14869888475836432,0.15503875968992248
124,0.5000000000000001,0.43636363636363634,0.38461538461538464,0.33962264150943394,0.4749999999999999,0.39999999999999997,0.30517234077296923,0.2255958911049824,0.44184435998196236,0.2938871473354232
125,0.5901639344262295,0.2631578947368421,0.3389830508474576,0.05555555555555555,0.5245901639344263,0.2631578947368421,0.1176345357444555,0.010286424599188562,0.5621848739495798,0.09259259259259259
126,0.3614457831325301,0.09836065573770493,0.07407407407407406,0.0,0.24096385542168675,0.06557377049180328,0.014385671495255964,0.007393821123191824,0.26267043992796496,0.06153846153846155
127,0.2115384615384615,0.08,0.058823529411764705,0.0273972602739726,0.11538461538461538,0.05333333333333334,0.010813180880884479,0.004341844138835925,0.15403726708074533,0.05616605616605617
128,0.22499999999999995,0.2413793103448276,0.02564102564102564,0.0,0.15,0.1379310344827586,0.005510788236970715,0.008724383945340666,0.12152777777777778,0.09398496240601505
129,0.4,0.3278688524590164,0.1643835616438356,0.2033898305084746,0.18666666666666668,0.19672131147540983,0.08246811684697279,0.11436433361427001,0.3114134081620204,0.27777777777777773
130,0.2921348314606742,0.3157894736842105,0.04597701149425287,0.02702702702702703,0.20224719101123595,0.21052631578947367,0.012660998324628945,0.0075650002270003635,0.14423076923076922,0.1565270935960591
131,0.3829787234042553,0.48101265822784817,0.19565217391304346,0.36363636363636365,0.2127659574468085,0.4556962025316456,0.08038616175563093,0.17622820458959704,0.2937420178799489,0.3691498815165877
132,0.3614457831325301,0.24242424242424243,0.07407407407407407,0.0625,0.1686746987951807,0.1818181818181818,0.015920362546548064,0.00675652008541345,0.18461743535057318,0.0704225352112676
133,0.26666666666666666,0.3111111111111111,0.13793103448275862,0.18604651162790697,0.23333333333333334,0.2222222222222222,0.013555314602787177,0.00821807407726565,0.3024326101249178,0.23846153846153847
134,0.4848484848484849,0.4528301886792453,0.1875,0.1568627450980392,0.33333333333333337,0.3018867924528302,0.034487891886160985,0.012384901282810543,0.3169683851502033,0.125
135,0.5094339622641509,0.2857142857142857,0.1923076923076923,0.0,0.3396226415094339,0.13186813186813187,0.01791983198090658,0.007443229846793787,0.36381086415229474,0.125
136,0.40404040404040403,0.4722222222222222,0.26804123711340205,0.3142857142857143,0.36363636363636365,0.4444444444444445,0.21392605090610853,0.10853401605921517,0.3871957403651115,0.31279338787553645
137,0.26506024096385544,0.2077922077922078,0.07407407407407407,0.0,0.21686746987951808,0.12987012987012989,0.0146418265191986,0.006909792747415067,0.1470908355878969,0.08951406649616368
138,0.7733333333333333,0.6557377049180327,0.4383561643835616,0.3728813559322034,0.56,0.5901639344262295,0.2843877927900334,0.03817002932087935,0.5131559763967434,0.38448275862068976
139,0.4,0.2,0.12903225806451613,0.025641025641025644,0.29473684210526313,0.15,0.032803387829280016,0.006669586107008974,0.28037975184689573,0.08254716981132075
140,0.48717948717948717,0.49230769230769234,0.3157894736842105,0.3174603174603175,0.358974358974359,0.46153846153846156,0.17130713161056582,0.14207405313947058,0.4592884948096886,0.4148325997065493
141,0.22535211267605634,0.20689655172413793,0.028985507246376812,0.0,0.16901408450704225,0.10344827586206896,0.006734719128165655,0.00872654234416496,0.07598784194528876,0.07886435331230285
142,0.3870967741935484,0.18604651162790697,0.17582417582417584,0.02380952380952381,0.27956989247311825,0.1395348837209302,0.08695659942316884,0.010422323780099494,0.3765352551864579,0.13927519633507854
143,0.22222222222222224,0.19047619047619044,0.0909090909090909,0.048780487804878044,0.15555555555555559,0.11904761904761904,0.01377964428530467,0.010925641704688824,0.14674556213017753,0.09572691351989898
144,0.641025641025641,0.3050847457627119,0.39473684210526316,0.03508771929824562,0.3589743589743589,0.1694915254237288,0.18433853343955847,0.008747940834820039,0.5600240096038415,0.1080246913580247
