sample_id,BART_pre_rouge1,PEGASUS_pre_rouge1,BART_pre_rouge2,PEGASUS_pre_rouge2,BART_pre_rougel,PEGASUS_pre_rougel,BART_pre_bleu,PEGASUS_pre_bleu,BART_pre_meteor,PEGASUS_pre_meteor
53,0.2619047619047619,0.276595744680851,0.04878048780487805,0.08695652173913043,0.21428571428571427,0.23404255319148934,0.012595484949560398,0.027142760758873147,0.11904761904761904,0.22265738323179576
54,0.16216216216216217,0.19230769230769232,0.0,0.0,0.10810810810810811,0.15384615384615385,0.0047291810340735615,0.010713701843513142,0.09057971014492752,0.10000000000000002
55,0.2465753424657534,0.3870967741935484,0.08450704225352113,0.09999999999999999,0.2191780821917808,0.3225806451612903,0.010207315006472229,0.015362849996515139,0.23731203007518795,0.25318725099601597
56,0.4742268041237114,0.4533333333333333,0.16842105263157894,0.1095890410958904,0.3092783505154639,0.26666666666666666,0.03363998387433142,0.011199073842185154,0.2945068153467772,0.17484531332280145
57,0.4444444444444444,0.39999999999999997,0.18867924528301888,0.14285714285714288,0.25925925925925924,0.26,0.029511455453362707,0.021759702886453174,0.2837986428576808,0.2698644083483734
58,0.5,0.5714285714285714,0.20930232558139536,0.2647058823529412,0.43181818181818177,0.4571428571428572,0.08687464620864774,0.0929870665478688,0.35111482266036603,0.32968213058419243
59,0.3157894736842105,0.6530612244897959,0.13513513513513514,0.46808510638297873,0.2105263157894737,0.6530612244897959,0.02978116934066751,0.29993418752520523,0.2951593860684769,0.5011400164461389
60,0.39999999999999997,0.40540540540540543,0.15053763440860216,0.08333333333333334,0.2736842105263158,0.2162162162162162,0.11727541326865613,0.01939810717472849,0.27309159438717595,0.13948497854077255
61,0.20253164556962025,0.24999999999999994,0.05194805194805195,0.08695652173913043,0.15189873417721517,0.20833333333333331,0.011435972261401412,0.021093798424159076,0.2329335793357933,0.17915499533146592
62,0.4750000000000001,0.5714285714285713,0.15384615384615385,0.26229508196721313,0.3,0.3492063492063492,0.033304347798678476,0.0495564896264301,0.3625028152576729,0.33452971093800293
63,0.3835616438356164,0.32653061224489793,0.14084507042253522,0.0851063829787234,0.1917808219178082,0.24489795918367346,0.08593358274399973,0.016894720574460967,0.36345966958211856,0.16537649542575653
64,0.4948453608247423,0.4578313253012048,0.3157894736842105,0.2222222222222222,0.45360824742268036,0.4337349397590361,0.21080265175626425,0.09608049238443286,0.358787398295855,0.2753086419753087
65,0.3571428571428571,0.29411764705882354,0.1951219512195122,0.12121212121212122,0.21428571428571427,0.2647058823529412,0.06730826637437216,0.020904996083879822,0.3337894924733742,0.19543343653250775
66,0.20454545454545456,0.3636363636363637,0.0930232558139535,0.0625,0.1818181818181818,0.30303030303030304,0.027363559496503428,0.005527013804512722,0.11056511056511056,0.07874015748031495
67,0.4242424242424243,0.46153846153846156,0.28125,0.12000000000000002,0.3333333333333333,0.2692307692307693,0.1172618139886576,0.026234189765541822,0.4825458829365079,0.38218197635335516
68,0.4,0.36619718309859156,0.15053763440860213,0.14492753623188406,0.3578947368421052,0.22535211267605634,0.026272853013497,0.016034180987747313,0.2829698650279294,0.16952502584686494
69,0.5185185185185185,0.36666666666666664,0.30379746835443044,0.2413793103448276,0.4444444444444445,0.36666666666666664,0.09370187147763513,0.09754960205395771,0.39882114955357145,0.2184989222026259
70,0.2318840579710145,0.4186046511627907,0.029850746268656716,0.1951219512195122,0.17391304347826086,0.23255813953488372,0.005295924024539148,0.024289783953423513,0.13100436681222707,0.2121337755666114
71,0.5142857142857143,0.49180327868852464,0.23529411764705882,0.23728813559322037,0.45714285714285713,0.36065573770491804,0.09710267030344186,0.16789125215525622,0.3048706240487063,0.354820498881385
72,0.2926829268292683,0.3870967741935484,0.125,0.26666666666666666,0.24390243902439027,0.3870967741935484,0.03255669415928909,0.13655145466657484,0.2344141826031967,0.24916201117318434
73,0.1081081081081081,0.11594202898550725,0.0,0.0,0.08108108108108109,0.057971014492753624,0.005381887058206485,0.00579653593359586,0.04901960784313726,0.05016722408026756
74,0.41558441558441556,0.5762711864406779,0.32,0.42105263157894735,0.41558441558441556,0.5423728813559322,0.13983014673489025,0.22800082127464164,0.4468099532171673,0.4526945345803907
75,0.21568627450980393,0.21333333333333332,0.060000000000000005,0.0821917808219178,0.1568627450980392,0.13333333333333336,0.004295119260690564,0.006551032557482023,0.09216589861751152,0.0857843137254902
76,0.30136986301369856,0.34375,0.11267605633802817,0.12903225806451615,0.19178082191780824,0.21874999999999997,0.01772677765822576,0.019435346988351875,0.22011834319526627,0.17857817042322646
77,0.3555555555555555,0.38461538461538464,0.20454545454545459,0.026315789473684213,0.31111111111111117,0.23076923076923078,0.1251954599956809,0.010561470709151092,0.2789907811741873,0.13574660633484162
78,0.4130434782608695,0.3125,0.08888888888888888,0.0967741935483871,0.2173913043478261,0.28125,0.029101970435233673,0.0059303073069600825,0.34171461041267137,0.08426966292134833
